,Symbol,ShortName,SocialCreditCode,CustomerFlag,full_name,customer_code
19,002268,卫士通,9151010070927392XM,1,成都卫士通信息产业股份有限公司,b'MDEwMDAxMDIxOA=='
20,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDI4Njc4NzQ1Mg=='
21,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'NzE3MTU3ODQ3NA=='
22,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'NTcxNDY0NjQ2OQ=='
23,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'NzU1MDA3NDk1NA=='
24,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDI3NjY5MzgwMQ=='
25,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'NzMxMjAxOTkwNg=='
26,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDIwMDA4OTM5Mg=='
27,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDEwMDAxNDA1Ng=='
28,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDIwODY5ODc4Ng=='
29,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MDI3NjY5MDc2MQ=='
30,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'MzcxMjY2NDIyMQ=='
31,002909,集泰股份,914401017910336929,1,广州集泰化工股份有限公司,b'NTcxNzA4NDA1Nw=='
32,601901,方正证券,914300001429279950,1,方正证券股份有限公司,b'MDEwODE0NDUxNA=='
33,601901,方正证券,914300001429279950,1,方正证券股份有限公司,b'MDEwODE0NDU2Nw=='
34,601901,方正证券,914300001429279950,1,方正证券股份有限公司,b'MDEwODE0NDYxNw=='
35,601901,方正证券,914300001429279950,1,方正证券股份有限公司,b'MDEwMDAxNDI1MA=='
36,601901,方正证券,914300001429279950,1,方正证券股份有限公司,b'MDIxMzU0ODg5OQ=='
37,300182,捷成股份,91110000793443249D,1,北京捷成世纪科技股份有限公司,b'MDEwMDAxNDYwNg=='
38,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司葫芦岛分行,b'NDI5MDIyNTgwOQ=='
39,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司,b'MDEwMDAxNTU5Ng=='
40,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司,b'MDEwNzY0MjkwMg=='
41,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司北方交易中心,b'MzUxMTQ1MTY2OQ=='
42,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司,b'MDEwMDA2MTM0MQ=='
43,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司,b'MzExMzY3OTU4Mg=='
44,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司鞍山分行,b'NDEyNTQ1OTM3OA=='
45,600016,民生银行,91110000100018988F,1,民生银行股份有限公司武汉分行,b'MDI3NjY4ODM4MQ=='
46,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司,b'MDEwMDAxNTg4MQ=='
47,600016,民生银行,91110000100018988F,1,中国民生银行股份有限公司盘锦分行,b'NDI3MDM4MDkwNA=='
48,002387,黑牛食品,914405007254810917,1,黑牛食品股份有限公司,b'MDEwMDAxNjYyNA=='
49,002387,黑牛食品,914405007254810917,1,维信诺科技股份有限公司,b'MDEwMDE4MzQxNw=='
50,002387,黑牛食品,914405007254810917,1,维信诺科技股份有限公司,b'MDEwMDE4MzA0Ng=='
51,600055,万东医疗,9111000063379674X4,1,北京万东医疗科技股份有限公司,b'MDEwMDAxNzIwNA=='
52,600055,万东医疗,9111000063379674X4,1,北京万东医疗科技股份有限公司,b'MDEwNDg2ODk4OQ=='
53,600055,万东医疗,9111000063379674X4,1,北京万东医疗科技股份有限公司,b'NTUxMzc2NTEwMw=='
54,600055,万东医疗,9111000063379674X4,1,北京万东医疗科技股份有限公司,b'MDEwODU5OTE3OA=='
55,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDEwMDAxODEwNQ=='
56,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDI1NTAzNjkxNQ=='
57,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDI5NDg3NDIyMA=='
58,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTE3MDQ1MTI0MQ=='
59,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'ODUxMTM3Mjg0OQ=='
60,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTc0NDU5NzExMw=='
61,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'OTkxMTE1NzY1MA=='
62,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MzUxMDcyOTQ3OQ=='
63,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEyNTg2NTg3MA=='
64,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTcxNTkyMTg5NA=='
65,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NzU1MDAxODc5OQ=='
66,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MzcxMjY2MDI4NA=='
67,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'Mzc5MjcyNDMwNA=='
68,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTE0MTg2NDM3OA=='
69,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTc5NzQ0MDU0Mg=='
70,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NzU1MDAwMTkyMA=='
71,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDIzNTM2MjYyMQ=='
72,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NDUxMzA2MTQyMA=='
73,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTM5MTgzNzU5NA=='
74,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTcxNzA5NzkxNA=='
75,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NzE3MTU3Njk4OQ=='
76,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTE2MDY3OTIzMA=='
77,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MzExMzY3OTQ1NQ=='
78,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEyNTg1Mzg5MA=='
79,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTcwMDMyMzkyMw=='
80,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTk1NDgxMzU0Ng=='
81,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDIzNTM3MjY2NQ=='
82,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTc2MjQ2MjI0Mw=='
83,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'ODk4MDkyMzA4MA=='
84,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'OTkxMTE1ODY3NA=='
85,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDI0Mzk1NjU4Mg=='
86,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NDcxMDY1MTk0NQ=='
87,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEwMzM1MTc0Nw=='
88,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEyNTg1Mzg4OQ=='
89,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDIyNTM1MzQzNA=='
90,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NDUxMzUwMzAyMA=='
91,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTUxMjQzMjQzNQ=='
92,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'OTUxMDY1NDcxOA=='
93,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'MDI4Njc3NDM1NQ=='
94,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NDUxMzUwMjk4Ng=='
95,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEwMzM1MTY0NQ=='
96,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'NTEzMzA2Mzc0MQ=='
97,002236,大华股份,91330000727215176K,1,浙江大华技术股份有限公司,b'OTMxMDg4MDQxMw=='
98,600062,华润双鹤,91110000633796475U,1,华润双鹤药业股份有限公司,b'MDEwMDAxODU3NA=='
99,002413,雷科防务,91320400745550891Q,1,江苏雷科防务科技股份有限公司,b'MDEwMDAxOTAxNg=='
100,600271,航天信息,91110000710927388B,1,航天信息股份有限公司,b'MDEwMDAxOTYxOQ=='
101,600271,航天信息,91110000710927388B,1,航天信息股份有限公司,b'MDEwMDAxOTYyOQ=='
102,600271,航天信息,91110000710927388B,1,航天信息股份有限公司,b'MDEwMDAxOTYwNg=='
103,600271,航天信息,91110000710927388B,1,航天信息股份有限公司,b'MDEwMDAxOTYyNA=='
104,600271,航天信息,91110000710927388B,1,航天信息股份有限公司,b'MDEwMDAxOTYxMQ=='
105,600986,科达股份,91370000164960593R,1,科达集团股份有限公司,b'MDEwMDAyMDI3MA=='
106,600986,科达股份,91370000164960593R,1,科达集团股份有限公司,b'NTQ2MDM3NDMxMw=='
107,600986,科达股份,91370000164960593R,1,科达集团股份有限公司,b'NTQ2MDM3NTgwOQ=='
108,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'NzMxMjAwNTQ0Nw=='
109,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'MDIxNjc2Njg0Nw=='
110,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'MDI0MzA2Mzc0Mw=='
111,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'MzUxMTEyODkyNA=='
112,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'MDEwMDAyMDU5Mg=='
113,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'NTMyNDc2MDY5OQ=='
114,002867,周大生,914403006685020514,1,周大生珠宝股份有限公司,b'NDcxMDM3MzEwNw=='
115,300485,赛升药业,911100007002230889,1,北京赛升药业股份有限公司,b'MDI4Njc3MDgyNQ=='
116,300485,赛升药业,911100007002230889,1,北京赛升药业股份有限公司,b'MDEwMDA2NDg5OA=='
117,300485,赛升药业,911100007002230889,1,北京赛升药业股份有限公司,b'MDEwMDAyMDgxMg=='
118,300485,赛升药业,911100007002230889,1,北京赛升药业股份有限公司,b'MDEwMDA2NTUwNg=='
119,300296,利亚德,91110000600039822G,1,利亚德光电股份有限公司,b'MDEwMDAyMjc0NQ=='
120,300205,天喻信息,91420000714587800U,1,武汉天喻信息产业股份有限公司,b'MDI3NjY5OTczNg=='
121,300205,天喻信息,91420000714587800U,1,武汉天喻信息产业股份有限公司,b'NzU1MDAwMjk1NQ=='
122,300205,天喻信息,91420000714587800U,1,武汉天喻信息产业股份有限公司,b'MDI3MjAyMDE2MQ=='
123,300205,天喻信息,91420000714587800U,1,武汉天喻信息产业股份有限公司,b'MDEwMDAyMzI1OA=='
124,300166,东方国信,91110000633027609B,1,北京东方国信科技股份有限公司,b'MDEwMDA0ODMxNw=='
125,300166,东方国信,91110000633027609B,1,北京东方国信科技股份有限公司,b'MzExMzMwNDE2Ng=='
126,300166,东方国信,91110000633027609B,1,北京东方国信科技股份有限公司,b'MDEwMDAyNTAzMg=='
127,300166,东方国信,91110000633027609B,1,北京东方国信科技股份有限公司,b'MDEwMDE2MTI1Mg=='
128,000676,智度股份,91410000170000388E,1,智度科技股份有限公司,b'MDEwMDAyNTE4OA=='
129,000681,视觉中国,91320400608117856C,1,视觉(中国)文化发展股份有限公司,b'MDEwMDAyNjExNQ=='
130,603716,塞力斯,91420100758158557H,1,武汉塞力斯医疗科技股份有限公司,b'MDEwMDAyNjU0OQ=='
131,603716,塞力斯,91420100758158557H,1,塞力斯医疗科技股份有限公司,b'MDI3NjY5NjUxMQ=='
132,603716,塞力斯,91420100758158557H,1,塞力斯医疗科技股份有限公司,b'MDIwNjg0NzcxNw=='
133,603716,塞力斯,91420100758158557H,1,塞力斯医疗科技股份有限公司,b'NTE4MDI5NDM3Nw=='
134,603716,塞力斯,91420100758158557H,1,武汉塞力斯医疗科技股份有限公司,b'NzMxMjAxMDQxMw=='
135,603716,塞力斯,91420100758158557H,1,塞力斯医疗科技股份有限公司,b'MDI3NjM2NDcyNA=='
136,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'MDEwMDAyOTI0NA=='
137,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'NzU1MDAyNjY3OQ=='
138,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'NTEyNTg1MTU1Mw=='
139,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'NTEyNTg1NTUzMQ=='
140,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'MDIxMDAwNTk2Nw=='
141,601555,东吴证券,91320000137720519P,1,东吴证券股份有限公司,b'NTEyNTg0ODcyMg=='
142,600031,三一重工,91110000616800612P,1,三一重工股份有限公司,b'NzMxMjAxMzcxOA=='
143,600031,三一重工,91110000616800612P,1,三一重工股份有限公司,b'MDEwMDAzMDEyMQ=='
144,600031,三一重工,91110000616800612P,1,三一重工股份有限公司,b'MDEwMDA2NDA2NQ=='
145,600031,三一重工,91110000616800612P,1,三一重工股份有限公司,b'NzMxMjAxMzcxNQ=='
146,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'OTMxMDgyMjY4Ng=='
147,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NzE3MTQyNTIzOA=='
148,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'ODk4MDI4NTkxNg=='
149,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'MDEwMDAzMDQ2NA=='
150,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'MzcxMTk1NDAzOQ=='
151,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NzU1MDA2MDM5NA=='
152,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NTEwMzM1NTkzMg=='
153,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NTkxNTM3NDc0OA=='
154,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NzkxMDM2Njg4OQ=='
155,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'MDIzNTM4NzgwNA=='
156,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'OTkxMDkyMzI5OA=='
157,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NTUxMzM1OTk1Mg=='
158,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'MDI0MjQ5MzEyNw=='
159,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'MDI1NTA0NjcxMg=='
160,000418,小天鹅A,91320200704046760T,1,无锡小天鹅股份有限公司,b'NTE2MDQyMzY1Ng=='
161,300289,利德曼,911100006000677198,1,北京利德曼生化股份有限公司,b'MDEwMDAzMTczNw=='
162,300289,利德曼,911100006000677198,1,北京利德曼生化股份有限公司,b'MDI4Njc2ODE2Nw=='
163,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'MDEwMDAzMjg1NQ=='
164,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'MDIxMDE0NzYyNQ=='
165,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'MDIxMDE0NzU0OA=='
166,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'NzU1MDA4MzY0MA=='
167,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'MDEwMDA0NTc5NQ=='
168,600999,招商证券,91440300192238549B,1,招商证券股份有限公司,b'MDEwMDExMjYzMQ=='
169,002174,游族网络,91350000611569108K,1,游族网络股份有限公司,b'MDEwMDAzNDYxNA=='
170,002780,三夫户外,91110102801449000U,1,北京三夫户外用品股份有限公司,b'MDEwMDAzNDY3OA=='
171,002780,三夫户外,91110102801449000U,1,北京三夫户外用品股份有限公司,b'MDEwMTQ3MDA4Ng=='
172,002780,三夫户外,91110102801449000U,1,北京三夫户外用品股份有限公司,b'NDU5MDM1NjUzOA=='
173,600582,天地科技,911100007109261826,1,天地科技股份有限公司,b'MDEwMDAzNTQ5MA=='
174,600582,天地科技,911100007109261826,1,天地科技股份有限公司,b'MDEwMDIwNzcwNw=='
175,600582,天地科技,911100007109261826,1,天地科技股份有限公司,b'MDEwMDIxMDQwMA=='
176,000892,欢瑞世纪,91500102208507636N,1,欢瑞世纪联合股份有限公司,b'MDEwMDAzNzUzMg=='
177,601169,北京银行,91110000101174712L,1,北京银行股份有限公司,b'MDEwMTk0OTMxNA=='
178,601169,北京银行,91110000101174712L,1,北京银行股份有限公司,b'MDEwMDAzNzY2Mg=='
179,601169,北京银行,91110000101174712L,1,北京银行股份有限公司,b'MDEwMDYzMDM3MA=='
180,000766,通化金马,91220501244575134M,1,通化金马药业集团股份有限公司,b'MDEwMDA0MDkxNQ=='
181,000766,通化金马,91220501244575134M,1,通化金马药业集团股份有限公司,b'NDM1MDE2MTM5OQ=='
182,000766,通化金马,91220501244575134M,1,通化金马药业集团股份有限公司,b'NzU1MDA2MTQwMg=='
183,300150,世纪瑞尔,91110000700308807J,1,北京世纪瑞尔技术股份有限公司,b'MDEwMDA0MDk1Nw=='
184,300150,世纪瑞尔,91110000700308807J,1,北京世纪瑞尔技术股份有限公司,b'MDEwMDA0MTEyNQ=='
185,300150,世纪瑞尔,91110000700308807J,1,北京世纪瑞尔技术股份有限公司,b'MDEwMDA0MTExNg=='
186,300150,世纪瑞尔,91110000700308807J,1,北京世纪瑞尔技术股份有限公司,b'MDEwMDA0MDk1OA=='
187,601595,上海电影,91310000132696812Y,1,上海电影股份有限公司,b'MDIxMDA2NjE0Nw=='
188,601595,上海电影,91310000132696812Y,1,上海电影股份有限公司,b'MDEwMDA0MjkwMQ=='
189,002598,山东章鼓,91370000163446410B,1,山东省章丘鼓风机股份有限公司,b'NTMxMjk2NjQwNA=='
190,002598,山东章鼓,91370000163446410B,1,山东省章丘鼓风机股份有限公司,b'MDEwMDA0NDAxMg=='
191,002371,北方华创,91110000726377528Y,1,北京七星华创电子股份有限公司,b'MDEwMzUzNTUxMQ=='
192,002371,北方华创,91110000726377528Y,1,北方华创科技集团股份有限公司,b'MDEwMDA0NTQ3OQ=='
193,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'MDIyNTg0NzAwOA=='
194,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'NTEwMzM1MjI1Ng=='
195,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'MDIxMDAzODkwNw=='
196,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'OTkxMTE1OTk4MA=='
197,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'MDEwMDA0NTk2MA=='
198,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'MDIyNTk1ODIwOA=='
199,600337,美克家居,916501006255516701,1,美克国际家居用品股份有限公司,b'MDIyNTk1ODIxMA=='
200,300291,华录百纳,91110000740091307R,1,北京华录百纳影视股份有限公司,b'MDEwMDA0NjE1Mg=='
201,300291,华录百纳,91110000740091307R,1,北京华录百纳影视股份有限公司,b'MDEwMTc2OTcxNw=='
202,002878,元隆雅图,911100006337468570,1,北京元隆雅图文化传播股份有限公司,b'MDEwMDA0NzA3Nw=='
203,002878,元隆雅图,911100006337468570,1,北京元隆雅图文化传播股份有限公司,b'MDI4NjI1MTIyOA=='
204,002878,元隆雅图,911100006337468570,1,北京元隆雅图文化传播股份有限公司,b'NzU1MDAyNzU4NQ=='
205,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEwMzM1MzU5NA=='
206,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEwMzM1NDc3OQ=='
207,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEyNTI0NjYzNA=='
208,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEyNTE3Mzk3OA=='
209,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTgwMDI3OTc4Ng=='
210,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NjMzMTMxODg5OA=='
211,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEwMzM1MjM1MA=='
212,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NzU1MDEwNDMyNA=='
213,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'MDEwMjI3MzgxNA=='
214,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'MDIyNTMyNzY3NA=='
215,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NjMzMTMxODg5Nw=='
216,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NjMzMTMxODk3OA=='
217,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEyNTI0Mzc4NQ=='
218,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEyNTg1MjMzOA=='
219,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'MzExMzMyMDUwMQ=='
220,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTEyNTg0ODQyOA=='
221,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTMyNTAzMDE5MQ=='
222,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'MDEwMDA0ODg0NQ=='
223,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'MzE0MDI1NjgzNQ=='
224,002081,金螳螂,91320000608285139H,1,苏州金螳螂建筑装饰股份有限公司,b'NTgwMDI3OTc5NA=='
225,300311,任子行,91440300723005104T,1,任子行网络技术股份有限公司,b'NzU1MjM1MTYxNg=='
226,300311,任子行,91440300723005104T,1,任子行网络技术股份有限公司,b'MzcxMjY2NzY2NQ=='
227,300311,任子行,91440300723005104T,1,任子行网络技术股份有限公司,b'MDEwMDA1MDMzMw=='
228,300311,任子行,91440300723005104T,1,任子行网络技术股份有限公司,b'MDEwMjg4NTI3OA=='
229,000786,北新建材,91110000633797400C,1,北新集团建材股份有限公司,b'MDEwMDA1NDAwOA=='
230,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'NzU1MjYwMzM2MA=='
231,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'MDIyMzU2NzY2Mw=='
232,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'NzYwMzIyNDA4Mg=='
233,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'MDEwMDA2NDE3Ng=='
234,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'ODE2MDUyNTkyOA=='
235,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'NzU0MzIwNTM4Mw=='
236,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'MDEwMDA1NjQ3MQ=='
237,002609,捷顺科技,914403002794141894,1,深圳市捷顺科技实业股份有限公司,b'NzU2MDIyODA3NQ=='
238,603903,中持股份,911101086996165533,1,中持水务股份有限公司,b'MDEwMDA1OTMzOQ=='
239,002445,中南文化,91320200749411127G,1,中南红文化集团股份有限公司,b'MDEwMDA1OTU4NA=='
240,002354,天神娱乐,91210200751573467T,1,大连天神娱乐股份有限公司,b'MDEwMDA1OTY5Mg=='
241,600008,首创股份,91110000700231088J,1,北京首创股份有限公司,b'MDEwMDA2MjQ5Ng=='
242,600008,首创股份,91110000700231088J,1,北京首创股份有限公司,b'MDEwMDA2MTk3OQ=='
243,600008,首创股份,91110000700231088J,1,北京首创股份有限公司,b'MDEwMDA3MzQ3OA=='
244,000750,国海证券,91450300198230687E,1,国海证券股份有限公司,b'MDEwMDA2MzkyNw=='
245,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'MDEwMzgwMjg2NQ=='
246,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'MDEwNTE3NDQ3OA=='
247,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'MDI0MzgxNzAxMw=='
248,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'MDI5NDg3NTMzMg=='
249,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'MDI5NDg4MTE1NQ=='
250,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'NDExMzExNDE0NQ=='
251,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'NDEyNTI3ODIyNA=='
252,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'NDMxMjkyMDEwNw=='
253,002612,朗姿股份,9111000079598548XH,1,朗姿股份有限公司,b'NTEwMzM1NTkzMw=='
